bootstrap	H0_lnL	H0_omega	H2_lnL	H2_omega1	H2_omega2
886	-1211.714098	0.29353	-1211.627580	0.26470	0.30992
887	-1202.609753	0.33867	-1201.683203	0.24832	0.41154
888	-1060.479712	0.30438	-1060.479225	0.30147	0.30571
889	-1219.197269	0.29841	-1218.614384	0.23374	0.34820
890	-1126.630413	0.24606	-1123.813547	0.13787	0.34919
891	-1343.781200	0.34194	-1338.993072	0.18130	0.52700
892	-1237.677610	0.26467	-1235.206985	0.14655	0.34554
893	-1207.087239	0.40450	-1205.940505	0.26875	0.49214
894	-1216.600911	0.36128	-1213.100291	0.19568	0.56757
895	-1217.252255	0.29468	-1217.239887	0.28426	0.30179
896	-1194.668983	0.39229	-1194.578918	0.35165	0.41363
897	-1202.421997	0.32627	-1202.324230	0.29468	0.34775
898	-1323.533600	0.29580	-1323.294839	0.24978	0.32128
899	-1120.721242	0.38378	-1118.446578	0.22577	0.54202
900	-1323.825099	0.28476	-1323.476392	0.22853	0.31236
901	-1140.753483	0.28622	-1140.432464	0.23379	0.32315
902	-1138.795709	0.19460	-1138.668179	0.17016	0.20946
903	-1194.156382	0.33796	-1194.044069	0.29947	0.35778
904	-1136.414447	0.27511	-1133.048140	0.14834	0.41012
905	-1244.111063	0.29580	-1241.672457	0.16925	0.39214
906	-1148.292768	0.27825	-1148.287380	0.27146	0.28264
907	-1172.718897	0.31323	-1172.690762	0.29416	0.32380
908	-1189.419862	0.34216	-1189.417526	0.33625	0.34526
909	-1158.546531	0.31716	-1154.930063	0.15266	0.44326
910	-1103.095144	0.32099	-1102.974077	0.28871	0.34924
911	-1271.928729	0.26897	-1270.864415	0.18641	0.32036
912	-1178.126402	0.29742	-1178.014304	0.26031	0.31485
913	-1288.747957	0.40579	-1287.765321	0.29048	0.49083
914	-1301.368177	0.25830	-1299.007794	0.14739	0.33918
915	-1247.440816	0.27941	-1246.036326	0.18729	0.34794
916	-1191.251162	0.31912	-1187.521692	0.17051	0.48492
917	-1118.757637	0.24517	-1117.334482	0.15662	0.30871
918	-1177.424968	0.22794	-1177.187020	0.18669	0.24898
919	-1144.485733	0.34129	-1143.885529	0.26323	0.40575
920	-1126.188698	0.24966	-1125.959529	0.29632	0.22654
921	-1263.519628	0.31524	-1261.285494	0.18478	0.41517
922	-1212.670943	0.33886	-1211.014406	0.20418	0.42384
923	-1195.022470	0.30519	-1194.868375	0.26346	0.32793
924	-1286.347872	0.39398	-1286.129870	0.33697	0.43247
925	-1250.025601	0.25998	-1248.639461	0.18565	0.33310
926	-1136.922971	0.22142	-1135.816483	0.15917	0.28723
927	-1219.484472	0.20743	-1219.254985	0.17591	0.22814
928	-1192.805296	0.24901	-1192.183079	0.19237	0.29199
929	-1345.199353	0.36899	-1345.193100	0.37896	0.36377
930	-1399.316706	0.39226	-1399.161646	0.44465	0.36970
931	-1242.782621	0.36298	-1242.781407	0.35821	0.36503
932	-1202.448817	0.23732	-1202.240348	0.19901	0.25642
933	-1063.837617	0.21818	-1062.986991	0.16513	0.28107
934	-1260.206827	0.36884	-1260.186363	0.35335	0.38019
935	-1147.043532	0.36408	-1145.643738	0.24579	0.46733
936	-1175.869453	0.17768	-1175.867556	0.18063	0.17623
937	-1280.970303	0.35486	-1278.249183	0.18913	0.46427
938	-1252.382667	0.26580	-1251.414047	0.19117	0.31754
939	-1236.526969	0.40331	-1234.357590	0.24008	0.53089
940	-1223.035946	0.29934	-1217.338206	0.12735	0.48987
941	-1308.154535	0.38741	-1307.973284	0.32572	0.41411
942	-1092.660443	0.25514	-1090.813569	0.14660	0.33510
