bootstrap	H0_lnL	H0_omega	H2_lnL	H2_omega1	H2_omega2
223	-1262.971309	0.28999	-1260.543131	0.17256	0.39099
224	-1134.225658	0.16586	-1133.507872	0.12146	0.19684
225	-1127.753675	0.38297	-1126.472613	0.24556	0.46732
226	-1225.055720	0.35488	-1224.630285	0.29270	0.41118
227	-1145.469060	0.28325	-1145.050648	0.21862	0.31901
228	-1272.486736	0.28871	-1271.262819	0.18277	0.33944
229	-1277.765407	0.33943	-1277.419411	0.28443	0.38535
230	-1094.067477	0.35864	-1093.149635	0.25015	0.44646
231	-1251.125980	0.39141	-1245.023385	0.17577	0.63934
232	-1156.961497	0.21201	-1155.413526	0.14231	0.28021
233	-1273.657398	0.32166	-1273.519759	0.28461	0.34572
234	-1139.817712	0.23542	-1136.917678	0.12505	0.33108
235	-1177.009757	0.24253	-1176.070262	0.17571	0.29866
236	-1251.678766	0.28423	-1251.618755	0.26148	0.29713
237	-1287.665683	0.39155	-1283.850719	0.20876	0.57415
238	-1235.700195	0.25441	-1234.150344	0.16975	0.32420
239	-1202.558046	0.37890	-1200.394964	0.22354	0.49558
240	-1176.128334	0.26014	-1175.975151	0.22720	0.28047
241	-1274.718916	0.40284	-1274.149110	0.31209	0.46351
242	-1191.916122	0.26921	-1191.623943	0.21995	0.29887
243	-1297.425573	0.27395	-1297.250754	0.23858	0.29547
244	-1268.033148	0.27145	-1261.457081	0.12193	0.46801
245	-1131.996207	0.33016	-1131.995139	0.33400	0.32763
246	-1200.195099	0.24222	-1199.415508	0.17980	0.28832
247	-1266.020503	0.25428	-1266.015507	0.24817	0.25764
248	-1115.599345	0.25939	-1115.571919	0.24334	0.26773
249	-1266.992469	0.27472	-1266.735061	0.22893	0.30194
250	-1229.311927	0.30924	-1228.895668	0.24782	0.35102
251	-1153.946073	0.43788	-1152.649731	0.29176	0.56910
252	-1123.345317	0.36316	-1121.449320	0.22364	0.49555
253	-1063.629207	0.32480	-1060.167728	0.15900	0.48867
254	-1123.938501	0.27161	-1120.457876	0.14064	0.41008
255	-1228.411626	0.19032	-1228.409048	0.18711	0.19233
256	-1229.877696	0.24720	-1225.917429	0.12326	0.36725
257	-1152.432468	0.21689	-1151.355069	0.13536	0.26992
258	-1226.464718	0.33353	-1221.570200	0.16428	0.54515
259	-1182.559747	0.36150	-1180.669206	0.22413	0.47462
260	-1150.226237	0.21791	-1149.292216	0.15323	0.26343
261	-1209.003891	0.31348	-1208.423416	0.40602	0.26978
262	-1033.221513	0.30982	-1033.069061	0.26790	0.33750
263	-1238.738017	0.27949	-1237.589033	0.19324	0.34067
264	-1126.084461	0.18082	-1124.111038	0.10519	0.26246
265	-1276.963625	0.24981	-1273.610848	0.13040	0.35351
266	-1225.548027	0.28569	-1223.100519	0.16891	0.39507
267	-1190.877901	0.42244	-1190.870021	0.40868	0.42926
268	-1193.682911	0.33306	-1191.427115	0.19454	0.45593
269	-1218.968489	0.27567	-1218.866147	0.24524	0.29169
270	-1218.912150	0.34748	-1214.999599	0.17561	0.50889
271	-1122.200004	0.22307	-1121.218843	0.32301	0.18321
272	-1123.596652	0.25316	-1121.440697	0.14923	0.35240
273	-1175.398420	0.17491	-1174.666538	0.13434	0.21688
274	-1272.722493	0.36104	-1269.285639	0.19775	0.51060
275	-1211.554582	0.28726	-1209.625293	0.17798	0.37719
276	-1215.501993	0.24635	-1213.550145	0.15107	0.31981
277	-1194.531198	0.26192	-1192.109448	0.15700	0.36823
278	-1194.885781	0.36817	-1194.623005	0.31190	0.40841
279	-1211.311409	0.23406	-1208.740378	0.13754	0.33414
280	-1296.356904	0.51405	-1296.081223	0.42012	0.55894
281	-1235.184877	0.32794	-1233.886594	0.21677	0.40269
282	-1030.560844	0.29276	-1030.231644	0.23331	0.33134
283	-1231.343028	0.30287	-1224.403509	0.13129	0.53018
284	-1211.689357	0.34613	-1210.652955	0.24581	0.43871
285	-1218.098336	0.26218	-1215.754107	0.14925	0.35005
286	-1205.328826	0.23248	-1205.243830	0.25841	0.21952
287	-1200.417390	0.32677	-1200.397714	0.34294	0.31816
288	-1255.973807	0.22701	-1249.919830	0.09935	0.37529
289	-1234.999822	0.28828	-1234.839275	0.33433	0.26798
290	-1250.912589	0.27074	-1247.889254	0.15352	0.39181
291	-1118.208684	0.19142	-1118.036177	0.16583	0.21105
292	-1231.224532	0.25702	-1228.509825	0.13800	0.34372
293	-1149.651052	0.23778	-1149.335178	0.19232	0.26422
294	-1162.560597	0.21340	-1162.368989	0.18346	0.23317
295	-1222.616677	0.40431	-1221.826402	0.28610	0.47411
296	-1287.131637	0.32688	-1286.760605	0.26335	0.36699
297	-1166.706690	0.26634	-1165.141000	0.16732	0.33840
298	-1184.743416	0.41467	-1183.532003	0.28260	0.51408
299	-1197.071896	0.25877	-1196.147814	0.36107	0.21375
300	-1149.035671	0.37168	-1148.915303	0.32778	0.39798
301	-1113.502409	0.33696	-1110.135751	0.17150	0.50751
302	-1267.656989	0.23552	-1267.639224	0.24489	0.22913
303	-1328.522450	0.35673	-1324.627309	0.18492	0.49965
304	-1121.642031	0.32956	-1121.202359	0.25999	0.38822
305	-1098.472305	0.27218	-1095.453667	0.12874	0.37628
306	-1106.584450	0.36373	-1105.377121	0.25040	0.46287
307	-1115.330502	0.33462	-1111.476002	0.16621	0.48895
308	-1289.104619	0.24721	-1286.537361	0.14084	0.32231
309	-1295.592009	0.33336	-1295.157474	0.26728	0.37605
310	-1253.824683	0.22165	-1253.633634	0.19113	0.24113
311	-1098.439726	0.21053	-1097.592363	0.14993	0.25908
312	-1122.317730	0.35034	-1122.050772	0.29330	0.39150
313	-1233.354789	0.33096	-1231.941335	0.22930	0.43054
314	-1196.007144	0.36060	-1195.710451	0.30156	0.40599
315	-1113.417077	0.22690	-1109.580627	0.10041	0.33774
316	-1196.609082	0.26924	-1195.812795	0.19385	0.31869
317	-1226.155552	0.29260	-1224.652903	0.18112	0.36245
318	-1288.778215	0.24732	-1288.633495	0.21725	0.26480
319	-1267.342823	0.33780	-1267.188039	0.29667	0.36391
320	-1124.539118	0.28863	-1123.609304	0.20784	0.35116
321	-1304.576487	0.22401	-1304.393433	0.19562	0.24357
322	-1268.781972	0.33174	-1267.885686	0.24318	0.39891
323	-1142.259968	0.28331	-1139.629488	0.15824	0.41001
324	-1168.448939	0.25369	-1164.470677	0.12707	0.38454
325	-1263.349727	0.28607	-1263.236736	0.31785	0.26805
326	-1279.478609	0.33532	-1278.382738	0.23428	0.40726
327	-1179.978839	0.26049	-1177.292952	0.14404	0.35429
328	-1185.183127	0.26174	-1184.188038	0.18569	0.32110
329	-1232.499594	0.26702	-1232.309162	0.22985	0.28991
330	-1247.113610	0.37290	-1243.443285	0.18468	0.51820
331	-1345.795222	0.27372	-1345.793624	0.27007	0.27569
332	-1260.124722	0.28029	-1258.628324	0.18339	0.35445
333	-1245.187289	0.36836	-1243.000558	0.22141	0.48899
334	-1266.287426	0.35426	-1261.713684	0.18053	0.56815
335	-1246.582257	0.30159	-1246.436383	0.26176	0.32404
336	-1275.575431	0.29152	-1274.307073	0.19508	0.36270
337	-1155.379367	0.22453	-1155.346050	0.21038	0.23311
338	-1232.995140	0.27996	-1232.882498	0.31102	0.26020
339	-1346.944501	0.31694	-1346.840553	0.28600	0.33587
340	-1235.712743	0.23245	-1233.853013	0.14778	0.30623
341	-1182.871639	0.26409	-1182.861885	0.25454	0.26889
342	-1176.413288	0.25089	-1176.407005	0.24377	0.25454
343	-1205.555088	0.29781	-1205.503975	0.31928	0.28318
344	-1198.484556	0.30143	-1195.537280	0.17111	0.44202
345	-1260.823241	0.25490	-1259.998509	0.18885	0.30407
346	-1165.135437	0.24782	-1162.044998	0.13534	0.36198
347	-1219.646091	0.30902	-1216.696720	0.17359	0.44019
348	-1332.235765	0.27135	-1328.423528	0.13826	0.37325
349	-1415.949824	0.24122	-1415.672933	0.20495	0.26394
350	-1221.821123	0.30958	-1221.492227	0.38258	0.27908
351	-1201.604904	0.33793	-1198.421346	0.19761	0.51039
352	-1153.834932	0.32839	-1150.829615	0.17779	0.46671
353	-1269.316043	0.24269	-1268.110074	0.16499	0.29556
354	-1125.549807	0.39621	-1125.484617	0.36304	0.41852
355	-1152.638150	0.28082	-1152.633305	0.27418	0.28480
356	-1246.084425	0.33125	-1244.789349	0.23336	0.42195
357	-1322.240962	0.34253	-1321.197473	0.25150	0.41947
358	-1090.723162	0.24381	-1087.139399	0.11991	0.36186
359	-1189.327889	0.25958	-1189.024980	0.21416	0.29016
360	-1133.468299	0.24945	-1131.612858	0.15807	0.33525
361	-1089.414699	0.27570	-1089.414667	0.27506	0.27600
362	-1242.152741	0.35592	-1239.478116	0.23100	0.54121
363	-1249.002090	0.28718	-1243.858090	0.13585	0.46719
364	-1207.822612	0.31462	-1207.821610	0.31138	0.31679
365	-1187.163999	0.31977	-1186.754093	0.25710	0.36288
366	-1104.886609	0.31116	-1102.276787	0.17701	0.45000
367	-1069.947592	0.16534	-1069.303134	0.11718	0.19290
368	-1303.001749	0.27233	-1302.853441	0.24275	0.29414
369	-1217.097619	0.37307	-1214.924837	0.22537	0.49829
370	-1110.048826	0.35666	-1109.810124	0.30024	0.39393
371	-1246.586939	0.23620	-1245.992499	0.18488	0.27512
372	-1125.982206	0.30162	-1124.992415	0.22676	0.38883
373	-1289.187544	0.24433	-1288.021477	0.16837	0.29847
374	-1102.191612	0.19548	-1099.442001	0.10401	0.29803
375	-1097.441335	0.27495	-1094.804609	0.16797	0.40956
376	-1258.622001	0.23485	-1257.899887	0.17694	0.27515
377	-1285.524874	0.27098	-1285.085848	0.21769	0.30454
378	-1199.664888	0.34348	-1198.399159	0.23166	0.42457
379	-1197.094555	0.24839	-1193.739639	0.14031	0.40414
380	-1225.492345	0.24203	-1225.409862	0.21882	0.25699
381	-1150.809429	0.21840	-1150.553246	0.18076	0.24144
382	-1181.984404	0.26872	-1180.644499	0.17554	0.33939
383	-1194.209760	0.24146	-1191.692320	0.11960	0.31369
384	-1158.097789	0.22921	-1158.042538	0.21287	0.24135
385	-1257.993966	0.26524	-1254.941352	0.14874	0.38006
386	-1167.889018	0.23546	-1163.072947	0.10958	0.41213
387	-1151.290543	0.22890	-1151.259153	0.24420	0.21996
388	-1256.111786	0.23665	-1255.383817	0.17765	0.27944
389	-1175.264792	0.30205	-1173.738051	0.19960	0.38398
390	-1213.981539	0.33281	-1213.537315	0.26399	0.37481
391	-1257.503206	0.31477	-1255.783317	0.19141	0.38747
392	-1140.445933	0.31999	-1134.389464	0.13045	0.54743
393	-1071.599209	0.16223	-1071.535670	0.17886	0.15302
394	-1167.760782	0.32164	-1167.490670	0.26750	0.35521
395	-1244.920482	0.23109	-1244.891904	0.21812	0.23901
396	-1211.051441	0.26768	-1209.427699	0.18209	0.35803
397	-1173.383946	0.47270	-1172.717641	0.35112	0.54789
398	-1178.697172	0.35148	-1171.959093	0.15548	0.67370
399	-1155.373677	0.33593	-1155.005389	0.26185	0.37461
400	-1184.139887	0.38864	-1181.419278	0.22012	0.55420
401	-1328.034858	0.30218	-1325.852908	0.18320	0.39782
402	-1218.158450	0.33267	-1218.013957	0.29301	0.35722
403	-1193.958420	0.30980	-1191.201762	0.17067	0.43011
404	-1207.183425	0.37447	-1207.182587	0.37823	0.37239
405	-1189.402188	0.26240	-1188.225453	0.17376	0.31797
406	-1195.711803	0.43865	-1194.914119	0.31098	0.51180
407	-1102.620314	0.23989	-1101.344268	0.15111	0.30446
408	-1152.090718	0.19705	-1151.133896	0.13901	0.24010
409	-1120.615319	0.46309	-1120.613445	0.47095	0.45913
410	-1247.087597	0.34156	-1245.158114	0.22239	0.45596
411	-1205.735479	0.29507	-1204.894407	0.21011	0.35057
412	-1197.796904	0.24100	-1192.684888	0.11014	0.39904
413	-1299.351969	0.26786	-1298.840882	0.20677	0.30381
414	-1211.276859	0.38453	-1210.649808	0.29226	0.45131
415	-1284.025393	0.26646	-1283.574322	0.21337	0.30226
416	-1253.835021	0.27941	-1252.872431	0.19972	0.33243
417	-1069.846653	0.20105	-1069.590718	0.16297	0.22444
418	-1196.076730	0.23441	-1195.927196	0.20614	0.25445
419	-1136.660747	0.43879	-1132.850641	0.21505	0.65905
420	-1307.883119	0.42582	-1304.759449	0.22598	0.58665
421	-1295.704164	0.41480	-1295.660726	0.38645	0.43037
422	-1117.064516	0.39705	-1116.344688	0.29253	0.46871
423	-1145.172527	0.14884	-1144.114269	0.09415	0.17927
424	-1216.453745	0.26442	-1215.991880	0.35133	0.23818
425	-1244.736439	0.25007	-1241.599442	0.12460	0.33483
426	-1229.820395	0.42540	-1228.998729	0.30468	0.50536
427	-1107.326278	0.26693	-1101.243170	0.12180	0.50071
428	-1169.838590	0.28800	-1169.537945	0.23814	0.32338
429	-1171.723346	0.33163	-1171.612238	0.29757	0.35853
430	-1197.216525	0.20208	-1194.520053	0.11862	0.28760
431	-1244.407684	0.29404	-1243.268259	0.20702	0.36375
432	-1291.475698	0.21782	-1289.903349	0.14203	0.27990
433	-1277.780204	0.27065	-1273.800904	0.13388	0.39038
434	-1257.566293	0.25775	-1255.430918	0.15847	0.34281
435	-1232.090598	0.38061	-1230.704894	0.25981	0.48311
436	-1078.108229	0.19753	-1077.132095	0.12466	0.23988
437	-1239.636861	0.24818	-1237.898054	0.16376	0.32202
438	-1196.022145	0.20257	-1193.624215	0.12196	0.28239
439	-1293.685502	0.27199	-1293.541998	0.24074	0.29381
440	-1150.499966	0.19406	-1150.153832	0.15489	0.21808
441	-1078.893172	0.23763	-1076.280941	0.12618	0.34097
442	-1270.883942	0.32323	-1269.615579	0.22545	0.40942
443	-1179.291402	0.22434	-1176.198318	0.11788	0.31587
444	-1163.275996	0.46285	-1161.995950	0.32141	0.58458
445	-1176.291536	0.26692	-1176.108418	0.22562	0.28775
446	-1208.835114	0.21664	-1207.933440	0.14958	0.25748
447	-1265.505987	0.24660	-1264.618802	0.17760	0.29235
448	-1235.018585	0.33973	-1234.767114	0.28809	0.37777
449	-1131.824833	0.27039	-1131.560889	0.22448	0.30105
450	-1259.708418	0.28578	-1257.894698	0.17911	0.36528
451	-1342.647256	0.34778	-1340.686887	0.23473	0.46004
452	-1097.960757	0.18713	-1097.938863	0.19772	0.18184
453	-1243.491947	0.33785	-1241.867195	0.21898	0.44185
454	-1191.309192	0.32137	-1189.149171	0.18099	0.41893
455	-1173.925295	0.22185	-1173.473668	0.17722	0.25543
456	-1284.898203	0.40459	-1284.250630	0.31457	0.48316
457	-1153.329781	0.26163	-1149.391017	0.11810	0.38378
458	-1194.615078	0.22971	-1194.613726	0.23246	0.22799
459	-1306.678693	0.32933	-1304.218307	0.19773	0.44878
460	-1213.638621	0.39673	-1211.392519	0.23524	0.53209
461	-1161.174893	0.28444	-1157.421368	0.15184	0.44055
462	-1245.880444	0.31968	-1244.672676	0.21311	0.38538
463	-1159.411595	0.20829	-1159.357216	0.19101	0.21799
464	-1072.596978	0.37951	-1072.494792	0.33911	0.41139
465	-1131.980627	0.21731	-1131.532857	0.16858	0.24908
466	-1204.852549	0.25602	-1204.325662	0.20090	0.29730
467	-1167.639888	0.25392	-1166.809537	0.18668	0.30682
468	-1180.687631	0.33375	-1180.659913	0.31424	0.34389
469	-1243.335866	0.25308	-1240.544325	0.13171	0.33937
470	-1199.391239	0.39973	-1196.822615	0.22905	0.55573
471	-1255.462290	0.32955	-1254.482765	0.23821	0.40063
472	-1145.688662	0.28514	-1142.104717	0.14002	0.41567
473	-1144.657232	0.20680	-1144.099613	0.15829	0.24411
474	-1245.201088	0.30363	-1242.577260	0.17580	0.42005
475	-1276.476106	0.24814	-1275.436643	0.17517	0.29938
476	-1175.240249	0.33433	-1175.165837	0.36708	0.31716
477	-1219.459398	0.35031	-1214.763878	0.16668	0.54034
478	-1155.581621	0.36607	-1150.590496	0.17030	0.58359
479	-1187.780286	0.23542	-1187.300836	0.18411	0.26888
480	-1191.931593	0.25039	-1190.375219	0.16329	0.31895
481	-1141.165845	0.26691	-1141.157063	0.27598	0.26184
482	-1314.005751	0.21965	-1313.942738	0.23906	0.20953
483	-1154.370413	0.28016	-1151.426146	0.15390	0.40934
484	-1144.182786	0.27093	-1143.578590	0.19756	0.31062
485	-1182.974368	0.24798	-1181.171772	0.14958	0.31917
486	-1318.350801	0.39949	-1317.965549	0.33046	0.45012
487	-1281.079038	0.24630	-1278.666635	0.15404	0.34186
488	-1235.411939	0.30183	-1234.439131	0.20972	0.36037
489	-1240.340716	0.23509	-1240.289489	0.21878	0.24666
490	-1084.748921	0.25943	-1084.711357	0.24246	0.27103
491	-1250.741503	0.30299	-1249.055488	0.19740	0.39397
492	-1222.332389	0.16809	-1219.393082	0.09164	0.23705
493	-1187.667093	0.36312	-1187.314035	0.30073	0.41197
494	-1258.436385	0.34461	-1255.744866	0.19427	0.46119
495	-1057.407789	0.33908	-1056.355541	0.22391	0.41629
496	-1281.201687	0.32717	-1280.968246	0.28200	0.36143
497	-1167.461586	0.25826	-1166.679202	0.18841	0.31196
498	-1385.576729	0.26758	-1385.029964	0.20729	0.29976
499	-1077.003221	0.21616	-1076.952198	0.23562	0.20574
500	-1223.654298	0.26306	-1223.411591	0.21712	0.28716
501	-1147.696313	0.22165	-1147.193060	0.16946	0.25551
502	-1118.803519	0.28772	-1118.786467	0.30033	0.27897
503	-1144.519104	0.32186	-1143.813512	0.24529	0.39000
504	-1212.982205	0.24266	-1207.277063	0.10844	0.40108
505	-1170.921602	0.25133	-1170.911971	0.24245	0.25609
506	-1212.042358	0.22023	-1211.883675	0.19144	0.23767
507	-1168.536352	0.43549	-1168.484071	0.40045	0.45407
508	-1180.027987	0.29035	-1178.432911	0.18637	0.37224
509	-1226.438741	0.21614	-1224.765025	0.14009	0.27896
510	-1106.144510	0.21623	-1105.505352	0.15468	0.25175
511	-1176.306471	0.31690	-1174.737320	0.20577	0.41079
512	-1218.394629	0.22699	-1218.283990	0.20213	0.24165
513	-1229.959398	0.23711	-1228.598675	0.16285	0.30920
514	-1319.487189	0.46500	-1317.973883	0.29438	0.57785
515	-1276.455450	0.26319	-1275.541887	0.19359	0.31595
516	-1079.056852	0.23452	-1077.562406	0.14585	0.31751
517	-1093.960606	0.27316	-1093.913777	0.25231	0.28638
518	-1142.689675	0.36728	-1138.084987	0.16567	0.60167
519	-1155.904745	0.29592	-1155.647160	0.24748	0.33164
520	-1151.803315	0.41085	-1151.461110	0.33067	0.46116
521	-1292.872683	0.26091	-1292.478560	0.20963	0.29029
522	-1258.733995	0.30482	-1257.021882	0.20127	0.39776
523	-1119.176505	0.30218	-1118.445632	0.22387	0.36222
524	-1341.024039	0.30474	-1340.102049	0.21881	0.35811
525	-1243.218337	0.24117	-1241.081066	0.14943	0.31790
526	-1195.995581	0.15244	-1195.855899	0.13590	0.16725
527	-1247.613578	0.38063	-1246.092278	0.23194	0.46003
528	-1173.442555	0.30786	-1171.300396	0.17989	0.41482
529	-1109.234438	0.21312	-1109.106643	0.24304	0.19679
530	-1057.440958	0.22471	-1057.205322	0.18636	0.24968
531	-1239.576363	0.29922	-1239.475907	0.26718	0.31756
532	-1211.244116	0.36439	-1210.043654	0.24897	0.44823
533	-1174.198314	0.24891	-1173.765705	0.19297	0.27857
534	-1216.486697	0.24427	-1215.635577	0.18103	0.29485
535	-1186.061357	0.37291	-1185.825676	0.31424	0.41008
536	-1219.302109	0.38287	-1216.472115	0.22993	0.55875
537	-1104.304162	0.25560	-1101.479329	0.13882	0.37698
538	-1202.779117	0.31770	-1202.680282	0.28698	0.34172
539	-1220.755367	0.32116	-1220.570734	0.27453	0.34786
540	-1236.552216	0.29009	-1234.848037	0.18401	0.36674
541	-1182.391921	0.29972	-1182.390091	0.30404	0.29718
542	-1222.342053	0.36719	-1222.057294	0.30823	0.40870
543	-1082.479022	0.22247	-1082.419611	0.24465	0.21195
544	-1225.404509	0.27014	-1225.191086	0.23114	0.29439
545	-1343.960171	0.43033	-1343.122375	0.33577	0.52398
546	-1218.387145	0.28847	-1217.639677	0.21000	0.33517
547	-1145.544983	0.37503	-1142.955349	0.21200	0.53156
548	-1200.847523	0.35516	-1199.074724	0.23019	0.46888
549	-1135.161403	0.16332	-1134.323876	0.11832	0.20082
550	-1214.855971	0.26396	-1214.123131	0.19610	0.31125
551	-1163.450575	0.25623	-1163.260975	0.22076	0.28129
552	-1113.133851	0.30992	-1110.421826	0.16743	0.43153
553	-1214.912215	0.31622	-1213.799593	0.21021	0.38743
554	-1157.499310	0.27401	-1157.418223	0.24918	0.29344
555	-1238.763573	0.30952	-1238.519536	0.26039	0.34306
556	-1188.816271	0.38321	-1187.891734	0.27499	0.47891
557	-1282.222057	0.23595	-1281.697431	0.18796	0.27447
558	-1242.965959	0.30093	-1239.766409	0.16164	0.42555
559	-1203.869329	0.39417	-1203.864369	0.38362	0.39900
560	-1055.875326	0.24836	-1055.247928	0.18016	0.29415
561	-1020.593700	0.29153	-1019.330723	0.19047	0.38025
562	-1350.364807	0.28746	-1350.166811	0.33881	0.26895
563	-1080.218082	0.43509	-1079.068872	0.27840	0.53489
564	-1206.215686	0.48847	-1205.415444	0.65632	0.40765
565	-1333.854511	0.32524	-1330.398399	0.16919	0.45400
566	-1063.922134	0.26782	-1063.465297	0.20692	0.30987
567	-1053.240208	0.30005	-1052.901966	0.24618	0.34202
568	-1166.426499	0.23510	-1165.694379	0.17063	0.28087
569	-1181.233743	0.22399	-1178.933125	0.13253	0.30649
570	-1138.075297	0.41932	-1137.808022	0.33966	0.46229
571	-1171.006162	0.25203	-1170.682690	0.20868	0.28863
572	-1229.971168	0.24092	-1229.969060	0.24464	0.23869
573	-1164.021272	0.24182	-1162.955864	0.16473	0.30339
574	-1139.358873	0.44247	-1135.243057	0.22628	0.72396
575	-1149.572381	0.27739	-1149.322411	0.24005	0.31137
576	-1137.876374	0.30859	-1133.898235	0.15690	0.47449
577	-1224.613539	0.33004	-1223.133840	0.20794	0.40140
578	-1129.431889	0.26380	-1129.068705	0.21260	0.30035
579	-1194.583145	0.25831	-1192.593804	0.15044	0.34085
580	-1202.432689	0.31162	-1201.547480	0.23094	0.37893
581	-1021.690641	0.22968	-1021.682441	0.22279	0.23487
582	-1095.562428	0.35885	-1093.975886	0.22697	0.49488
583	-1216.985659	0.41923	-1216.795969	0.35910	0.45597
584	-1111.019272	0.24980	-1110.875484	0.21552	0.26956
585	-1236.121018	0.33920	-1234.976199	0.23443	0.42822
586	-1139.885733	0.34776	-1139.720795	0.30749	0.38357
587	-1182.943552	0.38399	-1177.947085	0.17241	0.61656
588	-1310.870961	0.26813	-1310.652476	0.22760	0.29037
589	-1195.754786	0.52881	-1194.672733	0.36277	0.64193
590	-1251.282953	0.25898	-1251.160125	0.23154	0.27781
591	-1105.951976	0.26282	-1105.923342	0.28012	0.25404
592	-1255.944981	0.19979	-1253.925820	0.12556	0.27636
593	-1031.933418	0.23444	-1029.175463	0.13500	0.35132
594	-1225.141297	0.39114	-1218.747269	0.16218	0.63489
595	-1208.578283	0.36897	-1206.934728	0.23122	0.46295
596	-1097.941464	0.33918	-1096.461722	0.23865	0.46426
597	-1247.856806	0.31551	-1247.525198	0.26106	0.35093
598	-1193.420234	0.31978	-1192.785418	0.23458	0.36516
599	-1330.786826	0.37414	-1330.383983	0.29592	0.41378
600	-1148.991991	0.36335	-1148.917386	0.33152	0.38396
601	-1224.041920	0.23910	-1222.431701	0.15422	0.30932
602	-1076.430431	0.36896	-1069.102914	0.14436	0.68969
603	-1098.192776	0.57248	-1098.160710	0.61025	0.54741
604	-1184.157833	0.21387	-1183.881284	0.17707	0.23866
605	-1220.726046	0.24328	-1220.185995	0.17757	0.27176
606	-1181.628389	0.22723	-1179.455439	0.13615	0.31229
607	-1184.525381	0.26330	-1184.335090	0.22788	0.28859
608	-1176.543684	0.26458	-1176.347736	0.23248	0.29307
609	-1176.674229	0.29097	-1173.782206	0.16386	0.41842
610	-1076.349514	0.17566	-1075.065372	0.11296	0.23088
611	-1149.163200	0.36355	-1145.808203	0.17432	0.50607
612	-1308.308492	0.30238	-1308.229516	0.27468	0.31846
613	-1202.796678	0.41057	-1202.156024	0.30769	0.47898
614	-1135.840479	0.17954	-1133.478335	0.10168	0.24898
615	-1331.857837	0.36524	-1330.193421	0.24396	0.45900
616	-1341.792347	0.29482	-1339.534412	0.17877	0.39284
617	-1247.746116	0.33959	-1246.900527	0.26366	0.41778
618	-1153.848192	0.31459	-1150.877466	0.15346	0.42725
619	-1276.074781	0.27548	-1274.859257	0.18299	0.33599
620	-1205.133546	0.25999	-1204.610461	0.20267	0.30916
621	-1162.335674	0.27043	-1161.838467	0.21044	0.31251
622	-1257.120690	0.21546	-1256.673496	0.16804	0.24137
623	-1242.793196	0.24720	-1241.302133	0.16031	0.31130
624	-1112.270998	0.21849	-1111.526053	0.15803	0.26209
625	-1196.173005	0.19861	-1196.173005	0.19856	0.19863
626	-1159.507192	0.28353	-1156.288648	0.15810	0.42263
627	-1187.587809	0.34872	-1185.032681	0.19322	0.48404
628	-1204.250059	0.19007	-1200.678821	0.10272	0.29359
629	-1214.638344	0.29121	-1214.146598	0.23321	0.33877
630	-1265.371510	0.27946	-1263.202993	0.16455	0.38088
631	-1188.063540	0.28680	-1186.510357	0.18260	0.37110
632	-1057.858383	0.24209	-1056.605041	0.16263	0.32257
633	-1100.081871	0.31805	-1098.346560	0.19042	0.40777
634	-1208.770790	0.30815	-1204.956716	0.14554	0.47020
635	-1230.932937	0.23497	-1226.804035	0.10759	0.33378
636	-1162.504674	0.26153	-1160.942665	0.15528	0.32273
637	-1191.534936	0.19204	-1189.457021	0.10831	0.25823
638	-1252.049197	0.41622	-1251.174104	0.30395	0.50027
639	-1218.851865	0.23453	-1218.420960	0.18713	0.26490
640	-1321.083506	0.32183	-1319.867630	0.22720	0.39621
641	-1239.860962	0.19960	-1237.329327	0.11811	0.27406
642	-1284.335615	0.32116	-1283.823346	0.24724	0.36156
643	-1292.840176	0.37014	-1287.990960	0.18009	0.56195
644	-1121.910476	0.26666	-1120.961916	0.18331	0.32152
645	-1133.654773	0.27536	-1129.879989	0.14298	0.43157
646	-1124.594650	0.28335	-1123.649299	0.40775	0.23555
647	-1169.843096	0.28874	-1168.664726	0.20174	0.36537
648	-1193.522181	0.27742	-1192.538444	0.19769	0.33585
649	-1264.455598	0.26691	-1264.257565	0.31300	0.24750
650	-1229.216937	0.41065	-1227.826600	0.27079	0.51793
651	-1243.189578	0.29408	-1242.108690	0.20717	0.35552
652	-1134.925748	0.23118	-1134.682887	0.19371	0.25623
653	-1245.329064	0.25256	-1244.092835	0.17362	0.31031
654	-1147.008716	0.19377	-1146.863161	0.16872	0.20886
655	-1262.337306	0.40462	-1261.598062	0.29407	0.46957
656	-1238.432946	0.38945	-1235.805631	0.22937	0.55119
657	-1162.477821	0.32747	-1162.197599	0.27281	0.36452
658	-1140.468704	0.23705	-1138.581993	0.14522	0.31152
659	-1100.115965	0.32078	-1099.758805	0.26381	0.36513
660	-1203.271743	0.28243	-1200.374335	0.16147	0.41181
661	-1162.058204	0.35144	-1161.830648	0.41895	0.31928
662	-1184.484628	0.26188	-1183.266327	0.18427	0.33169
663	-1189.880190	0.24827	-1189.067219	0.18953	0.30430
664	-1208.111015	0.23077	-1208.105392	0.23660	0.22707
665	-1195.960369	0.20130	-1192.288103	0.11275	0.31689
666	-1270.632696	0.32994	-1266.686794	0.15639	0.45231
667	-1149.850565	0.32183	-1145.609164	0.16492	0.52357
668	-1205.299520	0.27442	-1201.172412	0.13312	0.41008
669	-1276.151729	0.32643	-1268.090579	0.13581	0.59596
670	-1164.586128	0.23942	-1164.150851	0.19021	0.27741
671	-1128.187498	0.23279	-1127.956093	0.19559	0.25727
672	-1164.235588	0.23354	-1160.699305	0.12452	0.37020
